Contrato,Unidade Gestora,Aditivo,Tipo de Contrato,Empresa,Valor,link_id,url,pdf_url_contrato,pdf_file_contrato
012/2019SEMINF/,Prefeitura Municipal de Macaé,Contrato Original,Aquisição de Material,COMERCIAL DMA AUTO PEÇAS LTDA,"R$ 11.700,00",1642,http://sistemas.macae.rj.gov.br:84/transparencia/default/contratacoes/mostrarcontratos?id=1642,http://sistemas.macae.rj.gov.br:84/sim/midia/contrato/1642/1578658551.pdf,1578658551.pdf
007/2019-SEMINF,Prefeitura Municipal de Macaé,Contrato Original,Aquisição de Material,COMERCIAL DMA AUTO PEÇAS LTDA,"R$ 16.135,00",1536,http://sistemas.macae.rj.gov.br:84/transparencia/default/contratacoes/mostrarcontratos?id=1536,http://sistemas.macae.rj.gov.br:84/sim/midia/contrato/1536/1568936306.pdf,1568936306.pdf
006/2019-SEMINF,Prefeitura Municipal de Macaé,Contrato Original,Aquisição de Material,POWERTOP GEO TECNOLOGIAS LTDA EPP,"R$ 76.400,00",1532,http://sistemas.macae.rj.gov.br:84/transparencia/default/contratacoes/mostrarcontratos?id=1532,http://sistemas.macae.rj.gov.br:84/sim/midia/contrato/1532/1568760014.pdf,1568760014.pdf
005/2019-SEMINF,Prefeitura Municipal de Macaé,Contrato Original,Prestação de Serviços,INTER - SEA CONSTRUÇÕES E EMPREENDIMENTOS LTDA,"R$ 1.073.532,24",1524,http://sistemas.macae.rj.gov.br:84/transparencia/default/contratacoes/mostrarcontratos?id=1524,http://sistemas.macae.rj.gov.br:84/sim/midia/contrato/1524/1567662495.pdf,1567662495.pdf
003/2019-SEMINF,Prefeitura Municipal de Macaé,Contrato Original,Aquisição de Material,GRUPO D'DUMAS BATERIAS EIRELI,"R$ 14.770,00",1506,http://sistemas.macae.rj.gov.br:84/transparencia/default/contratacoes/mostrarcontratos?id=1506,http://sistemas.macae.rj.gov.br:84/sim/midia/contrato/1506/1565963645.pdf,1565963645.pdf
002/2019-SEMINF,Prefeitura Municipal de Macaé,Contrato Original,Prestação de Serviços,VGR COMERCIAL EIRELI - ME,"R$ 435.000,00",1503,http://sistemas.macae.rj.gov.br:84/transparencia/default/contratacoes/mostrarcontratos?id=1503,http://sistemas.macae.rj.gov.br:84/sim/midia/contrato/1503/1565709805.pdf,1565709805.pdf
073/2019-FMS,Fundo Municipal de Saúde – FMS,Contrato Original,Prestação de Serviços,L. N. CARVALHO COMÉRCIO E SERVIÇOS LTDA ME,"R$ 42.270,00",1637,http://sistemas.macae.rj.gov.br:84/transparencia/default/contratacoes/mostrarcontratos?id=1637,http://sistemas.macae.rj.gov.br:84/sim/midia/contrato/1637/1578086893.pdf,1578086893.pdf
071/2019-FMS,Fundo Municipal de Saúde – FMS,Contrato Original,Aquisição de Material,SUPER CENTER CAMPOS E PRODUTOS MÉDICOS EIRELI,"R$ 3.990,00",1630,http://sistemas.macae.rj.gov.br:84/transparencia/default/contratacoes/mostrarcontratos?id=1630,http://sistemas.macae.rj.gov.br:84/sim/midia/contrato/1630/1578062515.pdf,1578062515.pdf
070/2019-FMS,Fundo Municipal de Saúde – FMS,Contrato Original,Prestação de Serviços,AUREO CENTER AUTOMOTIVO LTDA,"R$ 16.041,50",1638,http://sistemas.macae.rj.gov.br:84/transparencia/default/contratacoes/mostrarcontratos?id=1638,http://sistemas.macae.rj.gov.br:84/sim/midia/contrato/1638/1578094509.pdf,1578094509.pdf
068/2019-FMS,Fundo Municipal de Saúde – FMS,Contrato Original,Aquisição de Material,TECNOBÓTICA FARMÁCIA DE MANIPULAÇÃO LTDA,"R$ 952,80",1611,http://sistemas.macae.rj.gov.br:84/transparencia/default/contratacoes/mostrarcontratos?id=1611,http://sistemas.macae.rj.gov.br:84/sim/midia/contrato/1611/1576156093.pdf,1576156093.pdf
066/2019-FMS,Fundo Municipal de Saúde – FMS,Contrato Original,Aquisição de Material,SUPER CENTER CAMPOS E PRODUTOS MÉDICOS EIRELI,"R$ 44.950,00",1606,http://sistemas.macae.rj.gov.br:84/transparencia/default/contratacoes/mostrarcontratos?id=1606,http://sistemas.macae.rj.gov.br:84/sim/midia/contrato/1606/1575713438.pdf,1575713438.pdf
065/2019-FMS,Fundo Municipal de Saúde – FMS,Contrato Original,Aquisição de Material,CONSIGGA COMÉRCIO E SERVIÇOS LTDA - ME,"R$ 37.585,00",1605,http://sistemas.macae.rj.gov.br:84/transparencia/default/contratacoes/mostrarcontratos?id=1605,http://sistemas.macae.rj.gov.br:84/sim/midia/contrato/1605/1575655697.pdf,1575655697.pdf
064/2019-FMS,Fundo Municipal de Saúde – FMS,Contrato Original,Aquisição de Material,JUMEL DISTRIBUIDORA DE MEDICAMENTOS EIRELI,"R$ 18.999,99",1604,http://sistemas.macae.rj.gov.br:84/transparencia/default/contratacoes/mostrarcontratos?id=1604,http://sistemas.macae.rj.gov.br:84/sim/midia/contrato/1604/1575712515.pdf,1575712515.pdf
063/2019-FMS,Fundo Municipal de Saúde – FMS,Contrato Original,Prestação de Serviços,CENTRO OFTALMOLÓGICO DE BOTAFOGO LTDA,"R$ 8.400,00",1629,http://sistemas.macae.rj.gov.br:84/transparencia/default/contratacoes/mostrarcontratos?id=1629,http://sistemas.macae.rj.gov.br:84/sim/midia/contrato/1629/1578070777.pdf,1578070777.pdf
062/2019-FMS,Fundo Municipal de Saúde – FMS,Contrato Original,Aquisição de Material,NUTRIMED - SERVIÇOS MÉDICOS EM NUTRIÇÃO ENTERAL E PARENTERAL LTDA,"R$ 379.031,04",1590,http://sistemas.macae.rj.gov.br:84/transparencia/default/contratacoes/mostrarcontratos?id=1590,http://sistemas.macae.rj.gov.br:84/sim/midia/contrato/1590/1574193595.pdf,1574193595.pdf
061/2019-FMS,Fundo Municipal de Saúde – FMS,Contrato Original,Prestação de Serviços,W. C. EXTINTORES LTDA - ME,"R$ 8.504,00",1603,http://sistemas.macae.rj.gov.br:84/transparencia/default/contratacoes/mostrarcontratos?id=1603,http://sistemas.macae.rj.gov.br:84/sim/midia/contrato/1603/1575663949.pdf,1575663949.pdf
060/2019-FMS,Fundo Municipal de Saúde – FMS,Contrato Original,Prestação de Serviços,TOMOGRAFIA MACAÉ LTDA,"R$ 3.182.555,00",1579,http://sistemas.macae.rj.gov.br:84/transparencia/default/contratacoes/mostrarcontratos?id=1579,http://sistemas.macae.rj.gov.br:84/sim/midia/contrato/1579/1573300531.pdf,1573300531.pdf
