,CNPJ/CPF,Nome,Unnamed: 0,Valor Anulado,Valor Em LiquidaÃ§Ã£o,Valor Empenhado,Valor Liquidado,Valor Pago,ano,download_status
0,07.566.994/0001-57,2 LPM CENTER COMERCIO E DISTRIBUIDORA LTDA EPP,0.0,"R$ 0,00","R$ 0,00","R$ 40.571,91","R$ 40.571,91","R$ 40.571,91",2018,1
1,04.110.063/0001-51,503 COMERCIO DE MEDIC. E MAT. CIRURGICOS LTDA-ME,1.0,"R$ 0,00","R$ 0,00","R$ 6.840,00","R$ 6.840,00","R$ 6.840,00",2018,1
2,26.592.256/0001-29,8 AM OFFICE COM & SERV MOVEIS ESCRITORIO EIRELI,2.0,"R$ 0,00","R$ 0,00","R$ 24.300,00","R$ 0,00","R$ 0,00",2018,1
3,04.937.643/0001-17,A. GOULART CONS. EMPREEND. E PROJETOS LTDA,3.0,"R$ 0,00","R$ 0,00","R$ 513,90","R$ 513,90","R$ 513,90",2018,1
4,10.980.954/0001-61,A. L. COMERCIO E SERVICOS LTDA-ME,4.0,"R$ 0,00","R$ 0,00","R$ 2.033.097,17","R$ 1.884.550,77","R$ 1.884.550,77",2018,1
5,02.844.292/0001-74,A.C.DOS SANTOS OLIVEIRA COMERCIO E SERVIÃ‡OS LTDA,5.0,"R$ 0,00","R$ 0,00","R$ 23.001,00","R$ 0,00","R$ 0,00",2018,1
6,20.022.382/0001-61,A.J. MUNIZ EVENTOS - ME,6.0,"R$ 0,00","R$ 0,00","R$ 6.476,20","R$ 6.476,20","R$ 6.476,20",2018,1
7,07.137.125/0001-07,A.L. CONTRUCOES EIRELI-EPP,7.0,"R$ 34.246,10","R$ 0,00","R$ 34.246,10","R$ 0,00","R$ 0,00",2018,1
8,21.019.481/0001-57,A.M.B. GASPARINI - ME,8.0,"R$ 0,00","R$ 0,00","R$ 5.180,00","R$ 5.180,00","R$ 5.180,00",2018,1
9,999.999.999-99,AAE C.M. BOTAFOGO,9.0,"R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ -6,00",2018,0
10,01.147.320/0001-31,AAE CIEP 058 - OSCAR CORDEIRO,10.0,"R$ 0,00","R$ 0,00","R$ 71.100,00","R$ 71.100,00","R$ 71.100,00",2018,1
11,999.999.999-99,AAE CIEP MUNICIPALIZADO PROF. DARCY RIBEIRO,11.0,"R$ 0,00","R$ 0,00","R$ 22.680,00","R$ 22.680,00","R$ 22.680,00",2018,1
12,999.999.999-99,AAE CM DR. CLAUDIO MOACYR DE AZEVEDO,12.0,"R$ 0,00","R$ 0,00","R$ 76.800,00","R$ 76.800,00","R$ 76.800,00",2018,1
13,08.154.966/0001-95,AAE COL. MUN. NEUZA GOULART BRIZOLA,13.0,"R$ 0,00","R$ 0,00","R$ 33.660,00","R$ 33.660,00","R$ 33.660,00",2018,1
14,999.999.999-99,AAE COLEGIO ESTADUAL MUNICIPAL RAUL VEIGA,14.0,"R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00",2018,0
15,01.869.121/0001-37,AAE COLEGIO MUN. PROF. SAMUEL BRUST,15.0,"R$ 0,00","R$ 0,00","R$ 63.540,00","R$ 63.540,00","R$ 63.540,00",2018,1
16,999.999.999-99,AAE COLEGIO MUNICIPAL TARCISIO PAES DE FIGUEIREDO,16.0,"R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00",2018,0
17,01.858.375/0001-50,AAE COLEGIO MUNICIPAL ZELITA ROCHA DE AZEVEDO,17.0,"R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00",2018,0
18,999.999.999-99,AAE DO CIEP MARINGA,18.0,"R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ -19,10",2018,0
19,06.369.007/0001-61,AAE E.M. CHRISTOS JEAN KOUSOULAS,19.0,"R$ 0,00","R$ 0,00","R$ 54.240,00","R$ 54.240,00","R$ 54.226,68",2018,1
20,06.374.120/0001-35,AAE E.M. MARIA ISABEL DAMASCENO,20.0,"R$ 0,00","R$ 0,00","R$ 66.420,00","R$ 66.420,00","R$ 66.420,00",2018,1
21,999.999.999-99,AAE E.M. PROF. ANTONIO ALVAREZ PARADA,21.0,"R$ 0,00","R$ 0,00","R$ 37.560,00","R$ 37.560,00","R$ 37.560,00",2018,1
22,01.178.062/0001-50,AAE EST. MUNIC. NOSSO SENHOR DOS PASSOS,22.0,"R$ 0,00","R$ 0,00","R$ 10.800,00","R$ 10.800,00","R$ 10.800,00",2018,1
23,01.872.426/0001-06,AAE EST. MUNICIPALIZADA CORREGO DO OURO,23.0,"R$ 0,00","R$ 0,00","R$ 14.340,00","R$ 14.340,00","R$ 14.276,00",2018,1
24,999.999.999-99,AAE ESTADUAL MUN. CAROLINA C. BENJAMIN,24.0,"R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00",2018,0
25,999.999.999-99,AAE ESTADUAL MUN. FAZENDA SANTA MARIA,25.0,"R$ 0,00","R$ 0,00","R$ 10.980,00","R$ 10.980,00","R$ 10.980,00",2018,1
26,01.877.498/0001-38,AAE ESTADUAL MUN. JACYRA TAVARES DURVAL,26.0,"R$ 0,00","R$ 0,00","R$ 26.040,00","R$ 26.040,00","R$ 26.040,00",2018,1
27,999.999.999-99,AAE ESTADUAL MUNIC. CAETANO DIAS,27.0,"R$ 0,00","R$ 0,00","R$ 16.380,00","R$ 16.380,00","R$ 16.380,00",2018,1
28,999.999.999-99,AAE ESTADUAL MUNICIPALIZADA FANTINA DE MELO,28.0,"R$ 0,00","R$ 0,00","R$ 20.520,00","R$ 20.520,00","R$ 20.520,00",2018,1
29,01.862.351/0001-74,AAE ESTADUAL MUNICIPALIZADA IM,29.0,"R$ 0,00","R$ 0,00","R$ 4.260,00","R$ 4.260,00","R$ 4.260,00",2018,1
30,999.999.999-99,AAE ESTADUAL MUNICIPALIZADA POLIVALENTE A. TEIXEIR,30.0,"R$ 0,00","R$ 0,00","R$ 64.440,00","R$ 64.440,00","R$ 64.440,00",2018,1
31,999.999.999-99,AAE JARDIM DE INF. ANA BENEDICTA DA S. SANTOS,31.0,"R$ 0,00","R$ 0,00","R$ 25.080,00","R$ 25.080,00","R$ 25.080,00",2018,1
32,05.730.287/0001-29,AAE M. PRE ESCOLAR ALMIR F. LAPA,32.0,"R$ 0,00","R$ 0,00","R$ 32.700,00","R$ 32.700,00","R$ 32.700,00",2018,1
33,08.817.555/0001-32,AAE M. PROFÂª LETICIA PECANHA DE AGUIAR,33.0,"R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ -28.740,00",2018,0
34,21.969.622/0001-00,AAE MEI AFONSO CORREA SABINO,34.0,"R$ 0,00","R$ 0,00","R$ 10.320,00","R$ 10.320,00","R$ 10.320,00",2018,1
35,999.999.999-99,AAE MEI ANDRE VINICIUS DE SOUZA GONCALVES,35.0,"R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ -1.026,00",2018,0
36,26.580.099/0001-31,AAE MEI MARLENE DINIZ CALDAS,36.0,"R$ 0,00","R$ 0,00","R$ 9.600,00","R$ 9.600,00","R$ 9.600,00",2018,1
37,11.948.654/0001-68,AAE MEI PROFa CANDIDA MARIA DA SILVA VIEIRA,37.0,"R$ 0,00","R$ 0,00","R$ 10.260,00","R$ 0,00","R$ 0,00",2018,1
38,999.999.999-99,AAE MEI PROFESSORA HILDA RAMOS MACHADO,38.0,"R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ -168,00",2018,0
39,16.785.415/0001-58,AAE MEI THEREZINHA LOURENCO DA SILVA,39.0,"R$ 0,00","R$ 0,00","R$ 4.620,00","R$ 4.620,00","R$ 4.620,00",2018,1
40,26.581.159/0001-30,AAE MUN. MARIA CRISTINA CASTELLO BRANCO,40.0,"R$ 0,00","R$ 0,00","R$ 7.140,00","R$ 7.140,00","R$ 7.140,00",2018,1
41,06.310.616/0001-45,AAE MUN. PROFa. SANDRA MARIA O. A FRANCO,41.0,"R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00",2018,0
42,999.999.999-99,AAE MUN. SONIA REGINA DE SOUZA LAPA DOS SANTOS,42.0,"R$ 0,00","R$ 0,00","R$ 19.440,00","R$ 19.440,00","R$ 19.440,00",2018,1
43,999.999.999-99,AAE MUNIC. JOAQUIM LUIZ FREIRE PINHEIRO-COD 10707,43.0,"R$ 0,00","R$ 0,00","R$ 4.680,00","R$ 4.680,00","R$ 4.680,00",2018,1
44,01.985.426/0001-04,AAE MUNICIPAL PROFESSORA EDA MOREIRA DAFLON,44.0,"R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00",2018,0
45,999.999.999-99,AAE MUNICIPAL BALNEARIO LAGOMAR,45.0,"R$ 0,00","R$ 0,00","R$ 63.240,00","R$ 63.240,00","R$ 63.240,00",2018,1
46,999.999.999-99,AAE MUNICIPAL DA AROEIRA,46.0,"R$ 0,00","R$ 0,00","R$ 53.880,00","R$ 53.880,00","R$ 53.880,00",2018,1
47,999.999.999-99,AAE MUNICIPAL DO SANA,47.0,"R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00",2018,0
48,999.999.999-99,AAE MUNICIPAL ENGENHO DA PRAIA,48.0,"R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00",2018,0
49,999.999.999-99,AAE MUNICIPAL ERALDO MUSSI,49.0,"R$ 0,00","R$ 0,00","R$ 34.920,00","R$ 34.920,00","R$ 34.920,00",2018,1
50,999.999.999-99,AAE MUNICIPAL INTERAGIR,50.0,"R$ 0,00","R$ 0,00","R$ 25.020,00","R$ 25.020,00","R$ 25.020,00",2018,1
51,01.881.154/0001-00,AAE MUNICIPAL IVETE SANTANA DRUMOND DE AGUIAR,51.0,"R$ 0,00","R$ 0,00","R$ 14.400,00","R$ 14.400,00","R$ 14.400,00",2018,1
52,01.899.364/0001-18,AAE MUNICIPAL JARDIM DE INFANCIA A. GONCALVES,52.0,"R$ 0,00","R$ 0,00","R$ 55.320,00","R$ 55.320,00","R$ 55.320,00",2018,1
53,999.999.999-99,AAE MUNICIPAL JOAQUIM BREVES,53.0,"R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ -3.840,00",2018,0
54,999.999.999-99,AAE MUNICIPAL JOFFRE FROSSARD,54.0,"R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00",2018,0
55,01.847.301/0001-18,AAE MUNICIPAL JOSE CALIL FILHO,55.0,"R$ 0,00","R$ 0,00","R$ 23.760,00","R$ 23.760,00","R$ 18.600,00",2018,1
56,999.999.999-99,AAE MUNICIPAL LIONS,56.0,"R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ -255,80",2018,0
57,999.999.999-99,AAE MUNICIPAL MARIA LETICIA S. CARVALHO,57.0,"R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ -4.471,49",2018,0
58,23.961.249/0001-69,AAE MUNICIPAL OLGA BENARIO PRESTES,58.0,"R$ 0,00","R$ 0,00","R$ 35.400,00","R$ 35.400,00","R$ 34.757,00",2018,1
59,20.194.142/0001-44,AAE MUNICIPAL ONILDA MARIA DA COSTA,59.0,"R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ -829,00",2018,0
60,21.297.428/0001-18,AAE MUNICIPAL PAULO FREIRE,60.0,"R$ 0,00","R$ 0,00","R$ 74.340,00","R$ 74.340,00","R$ 74.340,00",2018,1
61,999.999.999-99,AAE MUNICIPAL PEDRO ADAMI,61.0,"R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00",2018,0
62,999.999.999-99,AAE MUNICIPAL RENATO MARTINS,62.0,"R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00",2018,0
63,01.876.194/0001-56,AAE MUNICIPAL WOLFANGO FERREIRA,63.0,"R$ 0,00","R$ 0,00","R$ 88.500,00","R$ 88.500,00","R$ 88.500,00",2018,1
64,999.999.999-99,AAE TEC. MUN. NATALIO SALVADOR ANTUNES,64.0,"R$ 0,00","R$ 0,00","R$ 12.060,00","R$ 12.060,00","R$ 11.694,00",2018,1
65,16.986.691/0001-84,AAE. COL. DE APLIC. DA FUND. EDUC. DE MACAE,65.0,"R$ 0,00","R$ 0,00","R$ 11.880,00","R$ 11.880,00","R$ 11.880,00",2018,1
66,12.674.571/0001-90,AAEEMEI IRACY PINHEIRO MARQUES,66.0,"R$ 0,00","R$ 0,00","R$ 32.820,00","R$ 32.820,00","R$ 32.466,49",2018,1
67,999.999.999-99,AAEME PROFÂª ARLEA CARVALHO JOSE,67.0,"R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00",2018,0
